ImageId,Label,Prob
1,2,0.9996958
2,9,0.99866533
3,3,0.999293
4,8,0.999619
5,3,0.9996354
6,3,0.9996608
7,8,0.9989397
8,3,0.99950725
9,2,0.99960726
10,5,0.9997217
11,6,0.9996451
12,3,0.98120147
13,3,0.99954635
14,3,0.96771395
15,1,0.99971855
16,5,0.99983156
17,4,0.99853337
18,8,0.99975365
19,6,0.9994548
20,3,0.99964917
21,7,0.94482535
22,5,0.97237384
23,7,0.999751
24,5,0.9991701
25,7,0.9995228
26,0,0.99872047
27,3,0.9983379
28,5,0.9944771
29,4,0.99869233
30,4,0.99967086
31,6,0.9995769
32,8,0.9995448
33,5,0.9997547
34,9,0.9994337
35,5,0.99939525
36,6,0.998672
37,6,0.9992455
38,3,0.99975616
39,0,0.99977267
40,6,0.99916553
41,4,0.99979794
42,7,0.9996544
43,8,0.9987434
44,1,0.99987376
45,1,0.99978304
46,6,0.9996085
47,9,0.99963987
48,0,0.99956596
49,5,0.9991175
50,0,0.9995394
51,1,0.999475
52,1,0.9997573
53,0,0.49781942
54,8,0.99971837
55,4,0.9995184
56,1,0.9997865
57,3,0.9994696
58,3,0.9990276
59,3,0.99961793
60,4,0.9996545
61,6,0.99934244
62,4,0.9992002
63,8,0.99965936
64,3,0.99965084
65,6,0.9992322
66,5,0.99945676
67,3,0.99969685
68,4,0.9988893
69,6,0.99941313
70,1,0.998291
71,5,0.9994518
72,9,0.99972963
73,9,0.99924976
74,7,0.9993327
75,3,0.99868506
76,2,0.9996126
77,3,0.99971086
78,7,0.9990498
79,6,0.9997364
80,3,0.9996483
81,4,0.99768555
82,1,0.9982492
83,1,0.9997899
84,5,0.9985632
85,9,0.99979526
86,6,0.99964774
87,5,0.9997532
88,1,0.9996681
89,0,0.996683
90,1,0.99943316
91,2,0.9990805
92,7,0.9994401
93,1,0.6048209
94,6,0.9996055
95,7,0.9996544
96,3,0.9992851
97,6,0.99949867
98,5,0.99969065
99,9,0.9997288
100,2,0.99930394
101,0,0.9995712
102,8,0.9992286
103,8,0.9996381
104,2,0.99856883
105,3,0.99950695
106,5,0.99961317
107,9,0.9997386
108,1,0.9974346
109,4,0.999835
110,8,0.99967897
111,5,0.99956834
112,2,0.9996522
113,0,0.99949807
114,0,0.9996688
115,5,0.7046505
116,5,0.9996729
117,2,0.99880636
118,9,0.999667
119,0,0.9969325
120,9,0.9996392
121,3,0.99961793
122,6,0.99888927
123,9,0.9996233
124,5,0.99970305
125,6,0.9995465
126,2,0.99963236
127,0,0.99979144
128,7,0.99968326
129,6,0.9988543
130,2,0.99945605
131,9,0.9995834
132,0,0.9996098
133,4,0.9987749
134,1,0.9998525
135,3,0.99945974
136,4,0.9997325
